  8.50000000000000e+00 -2.23824639822655e+00 -8.82978050230689e-16 9.99999999999980e-01 -2.05540856094458e-03  -2.05341644967280e-03  1.98814870933383e-03 9.99985123432483e-01
  8.60000000000000e+00 -2.23824666721901e+00 -1.11591680628688e-15 9.99999999999980e-01 -1.69275289999914e-03  -1.69080310928291e-03  2.58262924831766e-03 9.99985712731423e-01
  8.70000000000000e+00 -2.23824684582096e+00 -1.22001721015039e-15 9.99999999999978e-01 -1.27031022049533e-03  -1.26840617963389e-03  3.13944610433363e-03 9.99986240226261e-01
  8.80000000000000e+00 -2.23824686628724e+00 -1.39851107867864e-15 9.99999999999978e-01 -7.95957345092088e-04  -7.94102401363300e-04  3.64232419583432e-03 9.99986612569315e-01
  8.90000000000000e+00 -2.23824666875995e+00 -1.82591800701052e-15 9.99999999999978e-01 -2.79293277538271e-04  -2.77490690541035e-04  4.07568373791582e-03 9.99986741509535e-01
  9.00000000000000e+00 -2.23824620823273e+00 -2.03201609386429e-15 9.99999999999977e-01 2.68535098031924e-04  2.70282161880964e-04  4.42508935374379e-03 9.99986553550278e-01
  9.10000000000000e+00 -2.23824546061294e+00 -2.57305994527429e-15 9.99999999999976e-01 8.35056576427421e-04  8.36745049244725e-04  4.67768663933477e-03 9.99985998967575e-01
  9.20000000000000e+00 -2.23824442715313e+00 -3.09741924968354e-15 9.99999999999975e-01 1.40674446427752e-03  1.40837138188685e-03  4.82261370066913e-03 9.99985059173395e-01
  9.30000000000000e+00 -2.23824313663174e+00 -3.64293383203223e-15 9.99999999999974e-01 1.96932529912078e-03  1.97088780609324e-03  4.85137541085605e-03 9.99983751491303e-01
  9.40000000000000e+00 -2.23824164484234e+00 -4.33564444812408e-15 9.99999999999972e-01 2.50812076071277e-03  2.50961611521390e-03  4.75816871262972e-03 9.99982130604272e-01
  9.50000000000000e+00 -2.23824003120403e+00 -5.03521028021341e-15 9.99999999999972e-01 3.00841490926617e-03  3.00984048775780e-03  4.54014821316736e-03 9.99980286221035e-01
  9.60000000000000e+00 -2.23823839259133e+00 -6.15976884225422e-15 9.99999999999971e-01 3.45583788671479e-03  3.45719118846658e-03  4.19762256964316e-03 9.99978336870160e-01
  9.70000000000000e+00 -2.23823683478575e+00 -7.01189691904724e-15 9.99999999999969e-01 3.83675642487052e-03  3.83803507628793e-03  3.73417372096280e-03 9.99976420132152e-01
  9.80000000000000e+00 -2.23823546224195e+00 -8.32152401959523e-15 9.99999999999967e-01 4.13866094764625e-03  4.13986270643663e-03  3.15669285039837e-03 9.99974680025738e-01
  9.90000000000000e+00 -2.23823436709467e+00 -9.70496584943296e-15 9.99999999999964e-01 4.35053875687888e-03  4.35166151599850e-03  2.47532902340291e-03 9.99973252624767e-01
  1.00000000000000e+01 -2.23823361849825e+00 -1.15654426883799e-14 9.99999999999962e-01 4.46322276987068e-03  4.46426456126930e-03  1.70334868510058e-03 9.99972251261562e-01
